bioguide_id,twitter_id,twitter_username,facebook_id,facebook_username,youtube_id,youtube_username,instagram_id,instagram_username
S001157,168673083,RepDavidScott,113303673339,113303673339,UCgf28zRkLSqAUiPuJhGdF0w,RepDavidScott,,
S001156,312134473,RepLindaSanchez,110685735673141,CongresswomanLindaSanchez,UCu1K6uHxjMgj2mvzM7O9-ow,LindaTSanchez,,
S001154,22527499,RepBillShuster,54386677806,Rep.Shuster,UCEfLAXoX-pV3ETccADGOdXg,repshuster,,
S001150,29501253,RepAdamSchiff,9086721830,RepAdamSchiff,UCadiUi-KZoFk1K5ZDsluLcA,adamschiff,,
S001148,76132891,CongMikeSimpson,96007744606,96007744606,UCNXe0rJJeULTAP_7oyQNw8g,CongMikeSimpson,,
S001145,24195214,JanSchakowsky,160143957118,janschakowsky,UCuCHHPSENUEaaeH8n_CYDXQ,repschakowsky,,
S001141,47975734,SenatorSessions,23444159584,jeffsessions,UCd5Nv9gL89TCR03kD2SfaIQ,SenatorSessions,,
S000770,76456274,SenStabenow,,,UCFoDKCvxSwCUfDv-4Eg4K5A,senatorstabenow,,
S000583,15856366,LamarSmithTX21,107736785195,LamarSmithTX21,UCc2q5flh9dSoyg4W9osGW8Q,lamarsmithtexas21,,
S000510,58928690,RepAdamSmith,288586617834523,RepAdamSmith,UCcrHso483LOfC6WwDnzAh-g,CongressmanAdamSmith,,
S000480,63169388,LouiseSlaughter,82424647700,RepLouiseSlaughter,UCm9G5-ikIk62LgZxRnlB7fg,louiseslaughter,,
S000364,15600527,RepShimkus,123916254317516,repshimkus,UCVXSvuk-csQRKBI0oPzcEnw,repshimkus,,
S000344,30216513,BradSherman,63158229861,63158229861,UCPisrz6-SLwVy2l9Mcy8kug,shermanca27,,
S000320,21111098,SenShelby,50850514797,RichardShelby,UCyMzDCRZrmhr_OGDjVuAeJw,SenatorRichardShelby,,
S000250,24735461,PeteSessions,367963843082,petesessions,UCDSBWdAlrCZq2W8P3wR_LCg,PeteSessions,,
S000248,33563161,RepJoseSerrano,273446508512,RepJoseSerrano,,,1422526654,repjoseserrano
S000244,851621377,JimPressOffice,,RepSensenbrenner,UCUNfNsc2CVsqivJ2wThQF6A,RepSensenbrenner,,
S000185,161791703,RepBobbyScott,123839200978190,CongressmanBobbyScott,UCdNNcpw8arCsUp55JwK_QAA,repbobbyscott,1173348983,repbobbyscott
S000148,17494010,SenSchumer,15771239406,chuckschumer,UC-ABttxh8uQv_10qmwGaidw,SenatorSchumer,,
S000033,29442313,SenSanders,9124187907,senatorsanders,UCD_DaKNac0Ta-2PeHuoQ1uA,senatorsanders,,
S000030,108376246,LorettaSanchez,90966961167,LorettaSanchez,UCsPNjUsu5AvCJnVrdW_XjwA,LorettaSanchezLive,,
R000595,229966028,SenRubioPress,178910518800987,SenatorMarcoRubio,UCh8t7sV_DBKz4A-RkL9feyg,SenatorMarcoRubio,,
R000593,33655490,RepDennisRoss,469477579757018,dennis.ross.376,UCSjZ4oRWi_sO-aGM9CUBOJQ,RepDennisRoss,,
R000592,17544524,ToddRokita,183180288372896,RepToddRokita,UCl_wYwGYw1AXiUoqNmwLxzA,reptoddrokita,,RepToddRokita
R000591,224294785,RepMarthaRoby,174519582574426,Representative.Martha.Roby,UCeAWQdcSTlwv2vDGz0TQOxQ,reproby,,
R000589,221793778,RepScottRigell,167851429918010,RepScottRigell,UCNAzcysiI-NGAezezWQccRA,RepScottRigell,,
R000588,267854863,RepRichmond,197737020257085,RepRichmond,,,,
R000587,234053893,RepRibble,157169920997203,CongressmanReidRibble,UCE8Uht2wM9gdVsfniJLeMLw,RepRibble,,
R000586,236916916,RepJimRenacci,187639524595278,repjimrenacci,UCHTvP1X0dgUU1lrMub4hbLw,repjimrenacci,,
R000585,252819323,RepTomReed,102449199835273,RepTomReed,UC-HFEKIHC7ydVUkxkZOLqTg,CongressmanTomReed,,
R000583,23970171,TomRooney,117697790448,reptomrooney,UCHuDkMfCK3kmCpso7LyI3zA,CongressmanRooney,,
R000582,52503751,DrPhilRoe,130725126985966,DrPhilRoe,UC8muYurPSNO8x2Qqk40mVOA,drphilroe,,
R000580,20015903,PeterRoskam,118777661469195,RepRoskam,UCk8IZKV_RC1Wr-dh09kzVTw,RoskamIL06,,
R000578,16102244,DaveReichert,91504302598,repdavereichert,UC_Qs1fzY8WlHv6wJ1x7Hotg,repdavereichert,,
R000577,13491312,RepTimRyan,121560497865,timryan,UCjAFlYCheFKjGg_Pxc2VOFA,timryanvision,,
R000576,305620929,Call_Me_Dutch,184756771570504,184756771570504,UCk2S9iSHNpo1E1A7qZ0SPIw,ruppersberger,,
R000575,33977070,RepMikeRogersAL,171770326187035,171770326187035,UCH-WUWuY0_dlKwJDSqKTJsg,MikeRogersAL03,259435765,repmikerogersal
R000570,18916432,RepPaulRyan,7123827676,reppaulryan,UC8nMpZAuz-gitzb2icE15Qw,reppaulryan,,
R000515,305216911,RepBobbyRush,230753786936538,congressmanbobbyrush,UCbWqxBnS_w_uFTdQAL0YH5g,CongressmanRush,,
R000487,246769138,RepEdRoyce,6460640558,EdRoyce,UC9DUiRouRl6Rz6PEvQ4jRPw,RepEdRoyce,,
R000486,479872233,RepRoybalAllard,139773069370563,RepRoybalAllard,UC_T_RXWeJ-smmpjdNLOaMcg,RepRoybalAllard,,
R000435,14275291,RosLehtinen,286546974761109,iroslehtinen,UCf6XrWGZHjC7KgRd9JCAuBA,IleanaRosLehtinen,,
R000395,550401754,RepHalRogers,6722039085,CongressmanHalRogers,UChVFKLZkRoHQDhp4zNvEezQ,RepHalRogers,,
R000307,75364211,SenPatRoberts,205694792808927,SenPatRoberts,UCRpswvC8LgxzE9AYSFpqUgw,SenPatRoberts,,
R000146,16789970,SenatorReid,360249323990357,SenatorReid,UCxWLwXTG6_qs8K-68mCySRA,SenatorReid,,
R000122,486694111,SenJackReed,213866375370646,SenJackReed,UCT_aFVtsjxPwWKfO-PW_hPw,SenatorReed,,
R000053,21312077,CBRangel,7390589055,CBRangel,UCZwRwdLDW7ksC5tZV1_VUyQ,RepRangel,,
Q000023,56864092,RepMikeQuigley,158963645688,repmikequigley,UCDP13XegdoZ4bxYHxM34yAA,RepMikeQuigley,1403659583,repmikequigley
P000603,,,161355253917286,SenatorRandPaul,UCeM9I-20oWUs8daIIpsNHoQ,SenatorRandPaul,541357095,senatorrandpaul
P000602,244268646,RepMikePompeo,101965369880683,CongressmanPompeo,UCHxVnNpdjh6jqutY91ufgUw,congressmanpompeo,,
P000601,299883942,CongPalazzo,186908658003781,stevenpalazzo,UCtPOy2vRbN2nD8dQPSOTXeA,CongressmanPalazzo,,
P000599,25086658,CongBillPosey,100000080395369,bill.posey15,UCoUwUkDpe1ZYd6tiaZfiMuA,CongressmanPosey,,
P000598,15361570,JaredPolis,53481427529,jaredpolis,UCJJ1Ye0mOzqZh1_GErFUISw,JaredPolis31275,,
P000597,14984637,ChelliePingree,91529332807,ChelliePingree,UCLKaWFM7I84WcreDRhhhkVg,congresswomanpingree,,
P000596,34972633,PedroPierluisi,55139978107,pedropierluisi,UCl4cArGMdko-kRB_7Bay6iA,PierluisiCongress,,
P000595,236511574,SenGaryPeters,88851604323,SenatorGaryPeters,UC7LYNbnKSK2VZqQ98YROWHQ,RepGaryPeters,1640246681,sengarypeters
P000594,17513304,RepErikPaulsen,128558293848160,CongressmanErikPaulsen,UC1IOW4Wqox-6gmZbjjGvzLg,reperikpaulsen,,
P000593,20552026,RepPerlmutter,86174496459,RepPerlmutter,UCJXuMAzxngpEvDdvlE6wS5g,RepPerlmutter,,
P000592,74198348,JudgeTedPoe,106631626049851,106631626049851,UCGdNUkVP16hOyL-fUDV1Knw,CongressmanTedPoe,438265816,judgetedpoe
P000591,6577802,RepTomPrice,172032960420,reptomprice,UCFdG6NwEceyorspUdEduBUg,RepTomPrice,,
P000588,235271965,RepStevePearce,180280568662135,RepStevePearce,UCaT7jt_M86sDK50eaaVsFvQ,NMStevePearce,,
P000523,155669457,RepDavidEPrice,,,UCtX7bSXBLF9ge-Q955n5Vqw,RepDavidPrice,,
P000449,18915145,SenRobPortman,45243961073,senrobportman,UCwunkd8Zs-yAWKQwnwBp7ew,SenRobPortman,370356159,senrobportman
P000373,198526130,RepJoePitts,94156528752,94156528752,UCSFHCnw0q2uDf2gj8TfN3Vg,congressmanjoepitts,,
